Start Date,1/1/2024,,,Company:,Salesforce,,Hubspot
End Date,3/31/2026,,,Ticker Symbol:,CRM,,HUBS
,,,,,,,
,,,,,,,
,,,,Date,Close,,Close
,,,,1/1/2024, $256.13 ,, $547.86 
,,,,1/2/2024, $251.84 ,, $533.27 
,,,,1/3/2024, $251.24 ,, $530.25 
,,,,1/4/2024, $251.12 ,, $537.84 
,,,,1/5/2024, $260.87 ,, $557.17 
,,,,1/6/2024, $261.34 ,, $564.30 
,,,,1/7/2024, $264.13 ,, $569.89 
,,,,1/8/2024, $271.38 ,, $570.33 
,,,,1/9/2024, $271.93 ,, $561.35 
,,,,1/10/2024, $269.19 ,, $565.62 
,,,,1/11/2024, $271.44 ,, $564.09 
,,,,1/12/2024, $274.46 ,, $573.91 
,,,,1/13/2024, $280.88 ,, $581.40 
,,,,1/14/2024, $280.30 ,, $590.25 
,,,,1/15/2024, $276.77 ,, $590.97 
,,,,1/16/2024, $276.88 ,, $585.70 
,,,,1/17/2024, $279.03 ,, $585.73 
,,,,1/18/2024, $279.94 ,, $588.74 
,,,,1/19/2024, $287.86 ,, $609.94 
,,,,1/20/2024, $287.73 ,, $623.98 
,,,,1/21/2024, $281.09 ,, $611.00 
,,,,1/22/2024, $283.80 ,, $612.97 
,,,,1/23/2024, $285.66 ,, $612.39 
,,,,1/24/2024, $288.11 ,, $602.85 
,,,,1/25/2024, $285.83 ,, $605.93 
,,,,1/26/2024, $288.84 ,, $609.85 
,,,,1/27/2024, $291.95 ,, $628.69 
,,,,1/28/2024, $291.30 ,, $646.63 
,,,,1/29/2024, $287.32 ,, $617.07 
,,,,1/30/2024, $281.15 ,, $603.91 
,,,,1/31/2024, $289.15 ,, $629.64 
,,,,2/1/2024, $291.94 ,, $608.96 
,,,,2/2/2024, $289.72 ,, $613.50 
,,,,2/3/2024, $286.39 ,, $595.34 
,,,,2/4/2024, $283.55 ,, $589.23 
,,,,2/5/2024, $293.65 ,, $600.35 
,,,,2/6/2024, $292.80 ,, $605.41 
,,,,2/7/2024, $300.39 ,, $606.96 
,,,,2/8/2024, $299.50 ,, $615.61 
,,,,2/9/2024, $299.77 ,, $612.69 
,,,,2/10/2024, $308.82 ,, $618.81 
,,,,2/11/2024, $316.88 ,, $633.80 
,,,,2/12/2024, $314.64 ,, $628.71 
,,,,2/13/2024, $298.75 ,, $605.88 
,,,,2/14/2024, $303.77 ,, $610.59 
,,,,2/15/2024, $302.42 ,, $612.98 
,,,,2/16/2024, $305.28 ,, $604.49 
,,,,2/17/2024, $306.00 ,, $612.50 
,,,,2/18/2024, $306.62 ,, $621.16 
,,,,2/19/2024, $304.68 ,, $625.00 
,,,,2/20/2024, $303.32 ,, $630.01 
,,,,2/21/2024, $294.33 ,, $601.10 
,,,,2/22/2024, $300.51 ,, $599.85 
,,,,2/23/2024, $301.45 ,, $612.71 
,,,,2/24/2024, $306.08 ,, $625.64 
,,,,2/25/2024, $308.39 ,, $620.52 
,,,,2/26/2024, $307.77 ,, $621.75 
,,,,2/27/2024, $306.06 ,, $629.82 
,,,,2/28/2024, $305.83 ,, $632.03 
,,,,2/29/2024, $301.38 ,, $623.33 
,,,,3/1/2024, $301.18 ,, $626.56 
,,,,3/2/2024, $302.26 ,, $636.85 
,,,,3/3/2024, $304.00 ,, $609.97 
,,,,3/4/2024, $304.74 ,, $626.70 
,,,,3/5/2024, $294.14 ,, $657.85 
,,,,3/6/2024, $301.91 ,, $670.00 
,,,,3/7/2024, $301.73 ,, $670.15 
,,,,3/8/2024, $302.37 ,, $659.13 
,,,,3/9/2024, $299.62 ,, $657.71 
,,,,3/10/2024, $299.15 ,, $682.02 
